year,stateId,REPRB,RERCB,RETCB,hdd
2022,SC,128184.0,3248.0,143051.0,2502
2021,SC,125590.0,2686.0,141820.0,2373
2020,SC,128471.0,2652.0,141796.0,2164
2019,SC,126976.0,3083.0,143524.0,2336
2018,SC,125620.0,2973.0,143746.0,2612
2017,SC,120629.0,2301.0,140953.0,2089
2016,SC,117849.0,2363.0,137132.0,2391
2015,SC,113404.0,2553.0,136029.0,2366
2014,SC,121280.0,5188.0,142830.0,2938
2013,SC,114914.0,5129.0,137204.0,2708
2012,SC,111031.0,4089.0,130282.0,2189
2011,SC,107698.0,4713.0,126072.0,2515
2010,SC,100289.0,4857.0,119331.0,3211
2009,SC,88228.0,4501.0,107059.0,2767
2008,SC,89306.0,4682.0,99635.0,2659
2007,SC,88885.0,4157.0,87814.0,2350
2006,SC,88493.0,3729.0,88781.0,2388
2005,SC,84851.0,4122.0,86112.0,2684
2004,SC,81271.0,5505.0,81282.0,2643
2003,SC,79189.0,5360.0,79195.0,2744
2002,SC,71243.0,5056.0,71249.0,2591
2001,SC,62093.0,4970.0,62097.0,2427
2000,SC,82051.0,7292.0,82051.0,2918
1999,SC,85469.0,6783.0,85469.0,2472
1998,SC,105738.0,6597.0,105738.0,2311
1997,SC,111865.0,7400.0,111865.0,2685
1996,SC,110726.0,9389.0,110726.0,2971
1995,SC,100846.0,9041.0,100846.0,2832
1994,SC,93678.0,9035.0,93678.0,2536
1993,SC,89878.0,9520.0,89878.0,2930
1992,SC,87708.0,6613.0,87708.0,2746
1991,SC,85812.0,6300.0,85812.0,2442
1990,SC,,,,2053
1989,SC,,,,2753
1988,SC,,,,3103
1987,SC,,,,2942
1986,SC,,,,2490
1985,SC,,,,2626
1984,SC,,,,2676
1983,SC,,,,3147
1982,SC,,,,2623
1981,SC,,,,3182
1980,SC,,,,3129
1979,SC,,,,2929
1978,SC,,,,3126
1977,SC,,,,3048
1976,SC,,,,2995
1975,SC,,,,2529
1974,SC,,,,2398
1973,SC,,,,2724
1972,SC,,,,2637
1971,SC,,,,2731
1970,SC,,,,2934
1969,SC,,,,3297
1968,SC,,,,3285
1967,SC,,,,2784
1966,SC,,,,3145
1965,SC,,,,2803
1964,SC,,,,2882
