stateId,year,hdd
SC,2022,2502
SC,2021,2373
SC,2020,2164
SC,2019,2336
SC,2018,2612
SC,2017,2089
SC,2016,2391
SC,2015,2366
SC,2014,2938
SC,2013,2708
SC,2012,2189
SC,2011,2515
SC,2010,3211
SC,2009,2767
SC,2008,2659
SC,2007,2350
SC,2006,2388
SC,2005,2684
SC,2004,2643
SC,2003,2744
SC,2002,2591
SC,2001,2427
SC,2000,2918
SC,1999,2472
SC,1998,2311
SC,1997,2685
SC,1996,2971
SC,1995,2832
SC,1994,2536
SC,1993,2930
SC,1992,2746
SC,1991,2442
SC,1990,2053
SC,1989,2753
SC,1988,3103
SC,1987,2942
SC,1986,2490
SC,1985,2626
SC,1984,2676
SC,1983,3147
SC,1982,2623
SC,1981,3182
SC,1980,3129
SC,1979,2929
SC,1978,3126
SC,1977,3048
SC,1976,2995
SC,1975,2529
SC,1974,2398
SC,1973,2724
SC,1972,2637
SC,1971,2731
SC,1970,2934
SC,1969,3297
SC,1968,3285
SC,1967,2784
SC,1966,3145
SC,1965,2803
SC,1964,2882
SC,1963,3188
SC,1962,3028
SC,1961,2856
SC,1960,3287
SD,2022,7954
SD,2021,7036
SD,2020,7376
SD,2019,8627
SD,2018,8202
SD,2017,7218
SD,2016,6806
SD,2015,7002
SD,2014,8178
SD,2013,8285
SD,2012,6568
SD,2011,7885
SD,2010,7737
SD,2009,8099
SD,2008,8267
SD,2007,7421
SD,2006,6917
SD,2005,7158
SD,2004,7187
SD,2003,7529
SD,2002,7605
SD,2001,7458
SD,2000,7563
SD,1999,6865
SD,1998,7067
SD,1997,7969
SD,1996,8896
SD,1995,8007
SD,1994,7802
SD,1993,8531
SD,1992,7397
SD,1991,7362
SD,1990,7214
SD,1989,8150
SD,1988,7635
SD,1987,6660
SD,1986,7453
SD,1985,8487
SD,1984,7908
SD,1983,8151
SD,1982,8452
SD,1981,6976
SD,1980,7586
SD,1979,8670
SD,1978,8835
SD,1977,7735
SD,1976,7709
SD,1975,8222
SD,1974,7559
SD,1973,7596
SD,1972,8589
SD,1971,8209
SD,1970,8414
SD,1969,8415
SD,1968,7945
SD,1967,7922
SD,1966,8391
SD,1965,8274
SD,1964,7874
SD,1963,7520
SD,1962,7995
SD,1961,7977
SD,1960,8387
AK,2022,10035
AK,2021,10976
AK,2020,10781
AK,2019,8998
AK,2018,9632
AK,2017,10451
AK,2016,9286
AK,2015,9810
AK,2014,9582
AK,2013,10397
AK,2012,11702
AK,2011,10909
AK,2010,10624
AK,2009,11023
AK,2008,11628
AK,2007,10813
AK,2006,11267
AK,2005,10098
AK,2004,10296
AK,2003,10163
AK,2002,9959
AK,2001,10598
