series_id,name,geography,year,value
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2023,2156
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2022,2502
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2021,2373
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2020,2164
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2019,2336
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2018,2612
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2017,2089
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2016,2391
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2015,2366
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2014,2938
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2013,2708
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2012,2189
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2011,2515
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2010,3211
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2009,2767
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2008,2659
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2007,2350
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2006,2388
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2005,2684
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2004,2643
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2003,2744
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2002,2591
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2001,2427
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,2000,2918
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,1999,2472
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,1998,2311
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,1997,2685
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,1996,2971
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,1995,2832
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,1994,2536
SEDS.ZWHDP.SC.A,"Heating degree days (HDD), South Carolina",USA-SC,1993,2930
