period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2022,RETCB,Renewable energy total consumption,VA,Virginia,165465,Billion Btu
2022,RETCB,Renewable energy total consumption,UT,Utah,36708,Billion Btu
2022,RETCB,Renewable energy total consumption,US,United States,8090779,Billion Btu
2022,RETCB,Renewable energy total consumption,TX,Texas,742759,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,SC,South Carolina,3248,Billion Btu
2022,RETCB,Renewable energy total consumption,NH,New Hampshire,39952,Billion Btu
2022,RETCB,Renewable energy total consumption,NE,Nebraska,168639,Billion Btu
2022,RETCB,Renewable energy total consumption,ND,North Dakota,97751,Billion Btu
2022,RETCB,Renewable energy total consumption,AZ,Arizona,102430,Billion Btu
2022,RETCB,Renewable energy total consumption,AR,Arkansas,88219,Billion Btu
2022,RETCB,Renewable energy total consumption,AL,Alabama,232522,Billion Btu
2022,RETCB,Renewable energy total consumption,AK,Alaska,15100,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,RI,Rhode Island,1719,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,PA,Pennsylvania,30875,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,OR,Oregon,21091,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,MD,Maryland,8367,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,MA,Massachusetts,12667,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,LA,Louisiana,2443,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,KY,Kentucky,9476,Billion Btu
2022,RETCB,Renewable energy total consumption,NC,North Carolina,192198,Billion Btu
2022,RETCB,Renewable energy total consumption,TN,Tennessee,113146,Billion Btu
2022,RETCB,Renewable energy total consumption,SD,South Dakota,130007,Billion Btu
2022,RETCB,Renewable energy total consumption,SC,South Carolina,143051,Billion Btu
2022,RETCB,Renewable energy total consumption,RI,Rhode Island,10914,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,OK,Oklahoma,3746,Billion Btu
2022,RETCB,Renewable energy total consumption,MT,Montana,68479,Billion Btu
2022,RETCB,Renewable energy total consumption,MS,Mississippi,65275,Billion Btu
2022,RETCB,Renewable energy total consumption,MO,Missouri,101807,Billion Btu
2022,RETCB,Renewable energy total consumption,IN,Indiana,170310,Billion Btu
2022,RETCB,Renewable energy total consumption,IL,Illinois,245149,Billion Btu
2022,RETCB,Renewable energy total consumption,ID,Idaho,86220,Billion Btu
2022,RETCB,Renewable energy total consumption,IA,Iowa,417911,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,WY,Wyoming,4537,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,WV,West Virginia,8264,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,WI,Wisconsin,24346,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,OH,Ohio,21202,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,33130,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,NV,Nevada,7463,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,KS,Kansas,3607,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,IN,Indiana,14247,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,IL,Illinois,10161,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,ID,Idaho,13545,Billion Btu
2022,RERCB,Renewable energy sources consumed by the residential sector,CA,California,93435,Billion Btu
