period,seriesId,seriesDescription,stateId,stateDescription,value,unit,Outlier
2022,RETCB,Renewable energy total consumption,US,United States,8090779,Billion Btu,True
2022,RETCB,Renewable energy total consumption,TX,Texas,742759,Billion Btu,True
2022,RETCB,Renewable energy total consumption,IA,Iowa,417911,Billion Btu,True
2022,RERCB,Renewable energy sources consumed by the residential sector,NY,New York,33130,Billion Btu,True
2022,RERCB,Renewable energy sources consumed by the residential sector,CA,California,93435,Billion Btu,True
2022,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,43402,Billion Btu,True
2022,RETCB,Renewable energy total consumption,WA,Washington,426074,Billion Btu,True
2022,RERCB,Renewable energy sources consumed by the residential sector,US,United States,661743,Billion Btu,True
2022,RETCB,Renewable energy total consumption,CA,California,881980,Billion Btu,True
2022,REPRB,Renewable energy production,IA,Iowa,770984,Billion Btu,True
2022,REPRB,Renewable energy production,CA,California,543231,Billion Btu,True
2022,REPRB,Renewable energy production,WA,Washington,419010,Billion Btu,True
2022,REPRB,Renewable energy production,US,United States,8307342,Billion Btu,True
2022,REPRB,Renewable energy production,TX,Texas,654921,Billion Btu,True
2021,REPRB,Renewable energy production,TX,Texas,557242,Billion Btu,True
2021,REPRB,Renewable energy production,IA,Iowa,748411,Billion Btu,True
2021,REPRB,Renewable energy production,US,United States,7807302,Billion Btu,True
2021,REPRB,Renewable energy production,WA,Washington,396579,Billion Btu,True
2021,RETCB,Renewable energy total consumption,TX,Texas,652838,Billion Btu,True
2021,RETCB,Renewable energy total consumption,US,United States,7644235,Billion Btu,True
2021,RERCB,Renewable energy sources consumed by the residential sector,CA,California,79125,Billion Btu,True
2021,RETCB,Renewable energy total consumption,WA,Washington,405037,Billion Btu,True
2021,RERCB,Renewable energy sources consumed by the residential sector,US,United States,552554,Billion Btu,True
2021,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,41024,Billion Btu,True
2021,RETCB,Renewable energy total consumption,CA,California,809480,Billion Btu,True
2021,RETCB,Renewable energy total consumption,IA,Iowa,388813,Billion Btu,True
2021,REPRB,Renewable energy production,CA,California,528926,Billion Btu,True
2020,REPRB,Renewable energy production,CA,California,510610,Billion Btu,True
2020,RETCB,Renewable energy total consumption,TX,Texas,593952,Billion Btu,True
2020,REPRB,Renewable energy production,US,United States,7465203,Billion Btu,True
2020,RETCB,Renewable energy total consumption,IA,Iowa,365607,Billion Btu,True
2020,REPRB,Renewable energy production,TX,Texas,503024,Billion Btu,True
2020,REPRB,Renewable energy production,IA,Iowa,709062,Billion Btu,True
2020,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,38953,Billion Btu,True
2020,REPRB,Renewable energy production,WA,Washington,411233,Billion Btu,True
2020,RETCB,Renewable energy total consumption,CA,California,736995,Billion Btu,True
2020,RETCB,Renewable energy total consumption,WA,Washington,418531,Billion Btu,True
2020,RETCB,Renewable energy total consumption,US,United States,7300560,Billion Btu,True
2020,RERCB,Renewable energy sources consumed by the residential sector,US,United States,535896,Billion Btu,True
2020,RERCB,Renewable energy sources consumed by the residential sector,CA,California,72157,Billion Btu,True
2019,RERCB,Renewable energy sources consumed by the residential sector,FL,Florida,37582,Billion Btu,True
2019,RERCB,Renewable energy sources consumed by the residential sector,CA,California,77692,Billion Btu,True
2019,RERCB,Renewable energy sources consumed by the residential sector,US,United States,721493,Billion Btu,True
