Site Name,Power Plant Type,Plant Status,State,Lat,Lon,Plant Owner,Plant Operator,Nameplate Capacity (MW),Planned Capacity (MW),Max Tower  Capacity (MWe),Max Trough Capacity (MWe),Solar-Augment Potential,Reason Not Considered
Afton,Natural Gas Combined Cycle,Operating,NM,32.1134,-106.848,Public Service Company of New Mexico,Public Service Company of New Mexico,287,NA,20.9,18.7,Excellent,
Allen,Natural Gas Combined Cycle,Under Construction,NV,36.425,-114.9,Nevada Power Company,Nevada Power Company,0,576,42.6,38.4,Excellent,
Apex Industrial Park,Natural Gas Combined Cycle,Operating,NV,36.4178,-114.9622,"Broadway Generating Company, LLC","Las Vegas Power Company, LLC",600.6,NA,75.2,63.8,Excellent,
Arlington Valley Energy,Natural Gas Combined Cycle,Operating,AZ,33.3417,-112.8897,"LS Power Associates, LP","Arlington Valley, LLC",713,NA,96.5,80.7,Good,
Avenal,Natural Gas Combined Cycle,Planned,CA,36.00417,-120.1281,Macquarie Cook Power Inc.,Macquire Cook Power Inc.,0,600,87.7,73.2,Good,
Bluffview,Natural Gas Combined Cycle,Operating,NM,36.7164,-108.2153,Farmington City of NM,Farmington City of NM,67,NA,6.7,5.9,Good,
Blythe Energy Power Plant,Natural Gas Combined Cycle,Operating,CA,33.6157,-114.6865,NextEra Energy Resources LLC,FPL Energy Operating Services Inc,591,NA,44.6,39.8,Excellent,
Agua Fria,Natural Gas Combined Cycle,Operating,AZ,33.5542,-112.2161,Salt River Project,Salt River Project,390.4,NA,0,0,Not Considered,Plant Too Old
Animas,Natural Gas Combined Cycle,Operating,NM,36.7251,-108.1919,Farmington City of NM,Farmington City of NM,24.6,NA,0,0,Not Considered,No extra turbine space
ASU Cogeneration Plant,Natural Gas Combined Cycle,Operating,AZ,32.228086,-110.954232,Arizona State University,Northwind Phoenix LLC,18,NA,0,0,Not Considered,No extra turbine space
Apache Station,Natural Gas Combined Cycle,Operating,AZ,32.0619,-109.8931,Arizona Electric Power Cooperative Inc.,"Arizona Electric Power Cooperative, Inc.",93.1,NA,0,0,Not Considered,Plant Too Old
Arapahoe,Natural Gas Combined Cycle,Planned,CO,39.67,-105.0028,Public Service Company of Colorado,Public Service Company of Colorado,0,480,0,0,Not Considered,Low Land
Arapahoe CC,Natural Gas Combined Cycle,Operating,CO,39.6692,-105.0018,Multi-Owned,(blank),193.9,NA,0,0,Not Considered,Low Land
Agnews Cogeneration,Natural Gas Combined Cycle,Operating,CA,37.2273,-121.6827,Calpine Corporation,"Calpine Agnews, Inc.",32,NA,0,0,Not Considered,No extra turbine space
Berkeley Cogeneration,Natural Gas Combined Cycle,Operating,CA,37.6427,-121.8743,"Olympus Power, LLC",General Electric Company,28.5,NA,0,0,Not Considered,No extra turbine space
BHCI Facility,Natural Gas Combined Cycle,Planned,CO,38.266169,-104.613726,Black Hills Corporation,(blank),0,200,0,0,Not Considered,No extra turbine space
Black Hills CC Plant,Natural Gas Combined Cycle,Planned,CO,38.266169,-104.613726,Black Hills Energy,(blank),0,380,0,0,Not Considered,Need more info an extra turbine capacity
Black Mountain Plant,Natural Gas Combined Cycle,Operating,NV,36.2253,-114.8783,Multi-Owned,Nevada Cogeneration Assoc #2,96.3,NA,0,0,Not Considered,No extra turbine space
Agua Mansa,Natural Gas Combined Cycle,Planned,CA,34.0414,-117.3603,Colton City of,(blank),0,75.5,0,0,Not Considered,Need more info an extra turbine capacity
Bowie Power Station,Natural Gas Combined Cycle,Planned,AZ,32.3225,-109.4872,Southwestern Power Group II LLC,(blank),0,1050,17.7,16.6,Excellent,
Brush,Natural Gas Combined Cycle,Operating,CO,40.2403,-103.6225,Multi Owned,Brush Cogeneration Partners LP & Colorado Energy Management LLC,299.6,NA,32.3,27.2,Good,
