Site Name,State,Lat,Lon,Type,Solar-Augment Potential,Augment Technology Type,Augmented Capacity (MWe)
TS Power Plant,NV,40.6422,-116.937,Coal,Good,Max Tower Capacity (MWe),64.7
Desert Rock,NM,36.5435,-108.2235,Coal,Good,Max Tower Capacity (MWe),169.2
Oak Grove Project,TX,31.0494,-96.4813,Coal,Good,Max Tower Capacity (MWe),484.4
Tenaska Trailblazer Energy Center,TX,32.8043,-100.158,Coal,Good,Max Tower Capacity (MWe),174.7
Rio Bravo Jasmin,CA,35.7415,-119.0512,Coal,Good,Max Tower Capacity (MWe),9.8
Savannah Mill,GA,32.3683,-81.3413,Coal,Good,Max Tower Capacity (MWe),21.0
E S Joslin,TX,28.67945,-96.56,Coal,Good,Max Tower Capacity (MWe),88.7
Sandy Creek,TX,31.5031,-96.9602,Coal,Good,Max Tower Capacity (MWe),243.6
Shady Point,OK,35.1931,-94.6458,Coal,Good,Max Tower Capacity (MWe),102.5
"Jefferson Smurfit Nassau County,  FL",FL,30.6833,-81.4592,Coal,Good,Max Tower Capacity (MWe),22.0
Limestone (TX),TX,31.4219,-96.2525,Coal,Good,Max Tower Capacity (MWe),487.9
Rio Bravo Poso,CA,35.5556,-119.0832,Coal,Fair,Max Tower Capacity (MWe),11.3
Cholla,AZ,34.9394,-110.3033,Coal,Excellent,Max Tower Capacity (MWe),212.4
Southport NC,NC,33.9444,-78.0125,Coal,Fair,Max Tower Capacity (MWe),39.8
W A Parish,TX,29.4828,-95.6311,Coal,Good,Max Tower Capacity (MWe),357.6
J K Spruce,TX,29.3091,-98.3205,Coal,Good,Max Tower Capacity (MWe),203.4
Charles R Lowman,AL,31.4858,-87.9106,Coal,Fair,Max Tower Capacity (MWe),69.2
Stockton Cogen,CA,37.9119,-121.2611,Coal,Good,Max Tower Capacity (MWe),17.8
Valmy,NV,40.8831,-117.1542,Coal,Good,Max Tower Capacity (MWe),166.2
Valmy,NV,40.8831,-117.1542,Coal,Good,Max Tower Capacity (MWe),145.9
Intermountain,UT,39.5108,-112.5792,Coal,Good,Max Tower Capacity (MWe),470.2
UNC - Chapel Hill,NC,35.9069,-79.0617,Coal,Fair,Max Tower Capacity (MWe),15.4
Hunter,UT,39.1747,-111.0289,Coal,Good,Max Tower Capacity (MWe),286.8
Victor J. Daniel Jr.,MS,30.5335,-88.5574,Coal,Good,Max Tower Capacity (MWe),159.8
Stanton Energy Center,FL,28.4836,-81.1686,Coal,Fair,Max Tower Capacity (MWe),12.3
Mayo,NC,36.5278,-78.8917,Coal,Fair,Max Tower Capacity (MWe),212.9
Rocky Mount,NC,36.0378,-77.7542,Coal,Good,Max Tower Capacity (MWe),33.9
Roxboro,NC,36.4833,-79.0731,Coal,Fair,Max Tower Capacity (MWe),215.6
Indiantown Cogeneration Facility,FL,27.0393,-80.5144,Coal,Good,Max Tower Capacity (MWe),115.4
San Miguel,TX,28.7044,-98.4781,Coal,Good,Max Tower Capacity (MWe),119.8
Big Bend,FL,27.7944,-82.4036,Coal,Good,Max Tower Capacity (MWe),139.8
Bonanza,UT,40.0864,-109.2844,Coal,Good,Max Tower Capacity (MWe),145.8
C D McIntosh Jr,FL,28.0809,-81.9256,Coal,Fair,Max Tower Capacity (MWe),45.4
Comanche (CO),CO,38.2081,-104.5747,Coal,Good,Max Tower Capacity (MWe),235.4
Cross,SC,33.3692,-80.1119,Coal,Good,Max Tower Capacity (MWe),147.6
Crystal River,FL,28.9594,-82.7003,Coal,Fair,Max Tower Capacity (MWe),123.2
Deerhaven,FL,29.7586,-82.3883,Coal,Good,Max Tower Capacity (MWe),73.5
Dolet Hills,LA,32.0306,-93.5692,Coal,Fair,Max Tower Capacity (MWe),209.2
Escalante,NM,35.4159,-108.082,Coal,Good,Max Tower Capacity (MWe),75.4
Fayette Power Project,TX,29.9172,-96.7506,Coal,Fair,Max Tower Capacity (MWe),291.4
Florence Mill,SC,34.1519,-79.5587,Coal,Good,Max Tower Capacity (MWe),23.4
GRDA,OK,36.1906,-95.2889,Coal,Fair,Max Tower Capacity (MWe),293.7
Hugo,OK,34.0158,-95.3206,Coal,Good,Max Tower Capacity (MWe),130.0
Muskogee,OK,35.7617,-95.2847,Coal,Fair,Max Tower Capacity (MWe),166.5
Northeastern,OK,36.4317,-95.7008,Coal,Good,Max Tower Capacity (MWe),138.0
Nucla,CO,38.2387,-108.5083,Coal,Good,Max Tower Capacity (MWe),23.5
Pawnee,CO,40.2217,-103.6803,Coal,Fair,Max Tower Capacity (MWe),160.8
Pirkey,TX,32.4607,-94.4852,Coal,Fair,Max Tower Capacity (MWe),209.2
Rawhide,CO,40.8611,-105.0206,Coal,Good,Max Tower Capacity (MWe),86.1
Ray D Nixon,CO,38.6306,-104.7056,Coal,Good,Max Tower Capacity (MWe),60.8
Red Hills,MS,33.3761,-89.2183,Coal,Fair,Max Tower Capacity (MWe),149.8
Reid Gardner,NV,36.6531,-114.6364,Coal,Excellent,Max Tower Capacity (MWe),86.5
Roanoke Valley I,NC,36.4364,-77.6167,Coal,Good,Max Tower Capacity (MWe),53.6
Roanoke Valley II,NC,36.4364,-77.6167,Coal,Good,Max Tower Capacity (MWe),17.1
Roxboro NC,NC,36.435,-78.9619,Coal,Fair,Max Tower Capacity (MWe),20.0
Sandow,TX,30.5642,-97.0639,Coal,Fair,Max Tower Capacity (MWe),171.8
Welsh,TX,33.0583,-94.844,Coal,Fair,Max Tower Capacity (MWe),324.8
Winyah,SC,33.3303,-79.3611,Coal,Good,Max Tower Capacity (MWe),182.9
Coronado,AZ,34.5778,-109.2717,Coal,Excellent,Max Tower Capacity (MWe),120.2
Sooner,OK,36.4537,-97.0527,Coal,Fair,Max Tower Capacity (MWe),165.7
Springerville,AZ,34.3186,-109.1636,Coal,Excellent,Max Tower Capacity (MWe),511.6
Coleto Creek,TX,28.7128,-97.2142,Coal,Good,Max Tower Capacity (MWe),174.7
Coleto Creek,TX,28.7128,-97.2142,Coal,Good,Max Tower Capacity (MWe),174.7
"Colorado Energy Nations Company, LLP",CO,39.7606,-105.215,Coal,Good,Max Tower Capacity (MWe),6.0
Tolk,TX,34.1847,-102.5686,Coal,Good,Max Tower Capacity (MWe),330.8
Washington County Power Station,GA,33.0917,-82.9803,Coal,Fair,Max Tower Capacity (MWe),242.6
"Rodemacher (Rapides Parish, LA)",LA,31.395,-92.7167,Coal,Good,Max Tower Capacity (MWe),55.6
St Johns River Power,FL,30.4311,-81.5508,Coal,Good,Max Tower Capacity (MWe),134.5
Seminole (FL),FL,29.7333,-81.6339,Coal,Good,Max Tower Capacity (MWe),410.8
