Site Name,State,Lat,Lon,Type,Solar-Augment Potential,Augment Technology Type,Augmented Capacity (MWe)
Autaugaville,AL,32.391885,-86.571064,Natural Gas,Fair,Max Tower Capacity (MWe),177.2
Barry,AL,31.0069,-88.0103,Natural Gas,Good,Max Tower Capacity (MWe),48.9
Barry,AL,31.0069,-88.0103,Natural Gas,Good,Max Trough Capacity (MWe),44.6
Charles R Lowman,AL,31.4858,-87.9106,Coal,Fair,Max Tower Capacity (MWe),69.2
Charles R Lowman,AL,31.4858,-87.9106,Coal,Fair,Max Trough Capacity (MWe),17.6
James H. Miller Jr.,AL,33.6319,-87.0597,Coal,Fair,Max Tower Capacity (MWe),202.1
Harry L Oswald Power Facility,AR,34.5923,-92.2166,Natural Gas,Fair,Max Tower Capacity (MWe),76.0
Independence (AR),AR,35.6733,-91.4083,Coal,Good,Max Tower Capacity (MWe),304.0
John W Turk Jr Power Plant,AR,33.614565,-93.813516,Coal,Good,Max Tower Capacity (MWe),177.0
Pine Bluff Energy Center,AR,34.2181,-91.9025,Natural Gas,Good,Max Tower Capacity (MWe),32.0
Pine Bluff Energy Center,AR,34.2181,-91.9025,Natural Gas,Good,Max Trough Capacity (MWe),27.0
Plum Point Energy,AR,35.6763,-90.0131,Coal,Good,Max Tower Capacity (MWe),156.0
Bowie Power Station,AZ,32.3225,-109.4872,Natural Gas,Excellent,Max Tower Capacity (MWe),17.7
Cholla,AZ,34.9394,-110.3033,Coal,Excellent,Max Tower Capacity (MWe),212.4
Coronado,AZ,34.5778,-109.2717,Coal,Excellent,Max Tower Capacity (MWe),120.2
Desert Basin Generating,AZ,32.9042,-111.7889,Natural Gas,Excellent,Max Tower Capacity (MWe),82.8
Gila River Project,AZ,32.9761,-112.694,Natural Gas,Excellent,Max Tower Capacity (MWe),339.2
Springerville,AZ,34.3186,-109.1636,Coal,Excellent,Max Tower Capacity (MWe),511.6
Blythe Energy Power Plant,CA,33.6157,-114.6865,Natural Gas,Excellent,Max Tower Capacity (MWe),44.6
High Desert Power Project,CA,34.5953,-117.3647,Natural Gas,Excellent,Max Tower Capacity (MWe),72.0
Rio Bravo Jasmin,CA,35.7415,-119.0512,Coal,Good,Max Tower Capacity (MWe),9.8
Rio Bravo Jasmin,CA,35.7415,-119.0512,Coal,Good,Max Trough Capacity (MWe),2.5
Stockton Cogen,CA,37.9119,-121.2611,Coal,Good,Max Tower Capacity (MWe),17.8
Victorville 2 Hybrid,CA,34.639705,-117.364883,Natural Gas,Excellent,Max Tower Capacity (MWe),74.6
Brush,CO,40.2403,-103.6225,Natural Gas,Good,Max Tower Capacity (MWe),32.3
Comanche (CO),CO,38.2081,-104.5747,Coal,Good,Max Tower Capacity (MWe),235.4
Fort St Vrain,CO,40.2461,-104.8742,Natural Gas,Good,Max Tower Capacity (MWe),95.9
Front Range Power,CO,38.6281,-104.7069,Natural Gas,Good,Max Tower Capacity (MWe),73.4
Nucla,CO,38.2387,-108.5083,Coal,Good,Max Tower Capacity (MWe),23.5
Rawhide,CO,40.8611,-105.0206,Coal,Good,Max Tower Capacity (MWe),86.1
Big Bend,FL,27.7944,-82.4036,Coal,Good,Max Tower Capacity (MWe),139.8
Brandy Branch,FL,30.3206,-81.9486,Natural Gas,Good,Max Tower Capacity (MWe),42.0
Cane Island Power Park,FL,28.2764,-81.533,Natural Gas,Good,Max Tower Capacity (MWe),15.4
